component_id,name,category,description,code_snippet,use_cases
keep_011,Alert,UI Components,"Notification messages with different types: success, warning, error, and info.","<div class=""space-y-4""><div class=""bg-green-50 border border-green-200 text-green-800 px-4 py-3 rounded-lg"">Success message</div><div class=""bg-yellow-50 border border-yellow-200 text-yellow-800 px-4 py-3 rounded-lg"">Warning message</div><div class=""bg-red-50 border border-red-200 text-red-800 px-4 py-3 rounded-lg"">Error message</div></div>","Notifications, form validation, system messages, user feedback"
keep_012,Badge,UI Components,Small status indicators with different colors and sizes for labels and counts.,"<div class=""flex space-x-2""><span class=""bg-blue-100 text-blue-800 text-xs font-medium px-2.5 py-0.5 rounded-full"">Default</span><span class=""bg-green-100 text-green-800 text-xs font-medium px-2.5 py-0.5 rounded-full"">Success</span><span class=""bg-red-100 text-red-800 text-xs font-medium px-2.5 py-0.5 rounded-full"">Error</span></div>","Status indicators, notifications, labels, counts"
keep_013,Charts,UI Components,"Data visualization components including bar charts, line charts, and pie charts.","<div class=""bg-white p-6 rounded-lg shadow""><div class=""h-64 bg-gray-100 rounded flex items-center justify-center""><div class=""text-center""><div class=""text-2xl font-bold text-gray-600"">📊</div><p class=""text-gray-500 mt-2"">Chart Component</p><p class=""text-sm text-gray-400"">Bar, Line, Pie Charts</p></div></div></div>","Data visualization, analytics, dashboards, reports"
keep_014,Empty,UI Components,Empty state component for when there is no data or content to display.,"<div class=""text-center py-12""><div class=""text-6xl mb-4"">📭</div><h3 class=""text-lg font-medium text-gray-900 mb-2"">No data available</h3><p class=""text-gray-500 mb-4"">Get started by adding some content</p><button class=""bg-blue-600 text-white px-4 py-2 rounded-lg"">Add Content</button></div>","Empty states, onboarding, no data scenarios, user guidance"
keep_015,Messaging,UI Components,Chat and messaging interface components with message bubbles and input fields.,"<div class=""max-w-md mx-auto bg-white rounded-lg shadow""><div class=""p-4 border-b""><h3 class=""font-medium"">Chat</h3></div><div class=""p-4 space-y-3 h-64 overflow-y-auto""><div class=""flex justify-end""><div class=""bg-blue-600 text-white p-3 rounded-lg max-w-xs"">Hello there!</div></div><div class=""flex justify-start""><div class=""bg-gray-200 p-3 rounded-lg max-w-xs"">Hi! How can I help?</div></div></div><div class=""p-4 border-t""><input type=""text"" placeholder=""Type a message..."" class=""w-full px-3 py-2 border rounded-lg""/></div></div>","Chat interfaces, messaging apps, customer support, team communication"
keep_016,Skeleton,UI Components,Loading placeholders that mimic the structure of content while it loads.,"<div class=""space-y-4""><div class=""animate-pulse""><div class=""h-4 bg-gray-200 rounded w-3/4 mb-2""></div><div class=""h-4 bg-gray-200 rounded w-1/2 mb-2""></div><div class=""h-4 bg-gray-200 rounded w-5/6""></div></div><div class=""animate-pulse""><div class=""h-32 bg-gray-200 rounded""></div></div></div>","Loading states, content placeholders, improved UX, perceived performance"
keep_017,Steps,UI Components,Step indicator component for multi-step processes and workflows.,"<div class=""flex items-center space-x-4""><div class=""flex items-center""><div class=""w-8 h-8 bg-blue-600 text-white rounded-full flex items-center justify-center text-sm font-medium"">1</div><span class=""ml-2 text-sm font-medium"">Step 1</span></div><div class=""flex-1 h-px bg-gray-300""></div><div class=""flex items-center""><div class=""w-8 h-8 bg-gray-300 text-gray-600 rounded-full flex items-center justify-center text-sm font-medium"">2</div><span class=""ml-2 text-sm text-gray-500"">Step 2</span></div></div>","Onboarding flows, checkout processes, form wizards, progress tracking"
keep_018,Breadcrumb,UI Components,Navigation breadcrumb component showing current page hierarchy.,"<nav class=""flex"" aria-label=""Breadcrumb""><ol class=""flex items-center space-x-2""><li><a href=""#"" class=""text-gray-500 hover:text-gray-700"">Home</a></li><li class=""text-gray-400"">/</li><li><a href=""#"" class=""text-gray-500 hover:text-gray-700"">Products</a></li><li class=""text-gray-400"">/</li><li class=""text-gray-900 font-medium"">Current Page</li></ol></nav>","Navigation, page hierarchy, user orientation, site structure"
keep_019,Checkbox,UI Components,Checkbox input component with different states and sizes.,"<div class=""space-y-3""><label class=""flex items-center""><input type=""checkbox"" class=""w-4 h-4 text-blue-600 border-gray-300 rounded focus:ring-blue-500""/><span class=""ml-2 text-sm text-gray-700"">Checkbox option</span></label><label class=""flex items-center""><input type=""checkbox"" checked class=""w-4 h-4 text-blue-600 border-gray-300 rounded focus:ring-blue-500""/><span class=""ml-2 text-sm text-gray-700"">Checked option</span></label></div>","Forms, settings, filters, multi-select options"
keep_020,Checkbox Group,UI Components,Group of related checkboxes with consistent styling and behavior.,"<fieldset class=""space-y-3""><legend class=""text-sm font-medium text-gray-700 mb-3"">Select Options</legend><label class=""flex items-center""><input type=""checkbox"" class=""w-4 h-4 text-blue-600 border-gray-300 rounded focus:ring-blue-500""/><span class=""ml-2 text-sm text-gray-700"">Option 1</span></label><label class=""flex items-center""><input type=""checkbox"" class=""w-4 h-4 text-blue-600 border-gray-300 rounded focus:ring-blue-500""/><span class=""ml-2 text-sm text-gray-700"">Option 2</span></label><label class=""flex items-center""><input type=""checkbox"" class=""w-4 h-4 text-blue-600 border-gray-300 rounded focus:ring-blue-500""/><span class=""ml-2 text-sm text-gray-700"">Option 3</span></label></fieldset>","Form groups, settings panels, filter groups, multi-select lists"
keep_021,Date Picker,UI Components,Date selection component with calendar interface and validation.,"<div class=""max-w-sm""><label class=""block text-sm font-medium text-gray-700 mb-2"">Select Date</label><input type=""date"" class=""w-full px-3 py-2 border border-gray-300 rounded-lg focus:outline-none focus:ring-2 focus:ring-blue-500 focus:border-transparent""/></div>","Forms, scheduling, date selection, event planning"
keep_022,Dropdown,UI Components,Dropdown menu component with search and multi-select capabilities.,"<div class=""relative max-w-sm""><label class=""block text-sm font-medium text-gray-700 mb-2"">Select Option</label><select class=""w-full px-3 py-2 border border-gray-300 rounded-lg focus:outline-none focus:ring-2 focus:ring-blue-500 focus:border-transparent""><option>Choose an option</option><option>Option 1</option><option>Option 2</option><option>Option 3</option></select></div>","Forms, navigation menus, option selection, filters"
keep_023,File Upload,UI Components,File upload component with drag-and-drop functionality and progress indicators.,"<div class=""border-2 border-dashed border-gray-300 rounded-lg p-6 text-center hover:border-gray-400 transition""><div class=""text-4xl mb-4"">📁</div><h3 class=""text-lg font-medium text-gray-900 mb-2"">Upload files</h3><p class=""text-gray-500 mb-4"">Drag and drop files here, or click to select</p><button class=""bg-blue-600 text-white px-4 py-2 rounded-lg hover:bg-blue-700"">Choose Files</button></div>","File management, document uploads, media galleries, data import"
keep_024,Modal,UI Components,"Modal dialog component with overlay, close button, and customizable content.","<div class=""fixed inset-0 bg-black bg-opacity-50 flex items-center justify-center z-50""><div class=""bg-white rounded-lg p-6 max-w-md w-full mx-4""><div class=""flex justify-between items-center mb-4""><h3 class=""text-lg font-medium"">Modal Title</h3><button class=""text-gray-400 hover:text-gray-600"">×</button></div><p class=""text-gray-600 mb-6"">Modal content goes here</p><div class=""flex justify-end space-x-3""><button class=""px-4 py-2 text-gray-700 border border-gray-300 rounded-lg hover:bg-gray-50"">Cancel</button><button class=""px-4 py-2 bg-blue-600 text-white rounded-lg hover:bg-blue-700"">Confirm</button></div></div></div>","Confirmations, forms, details view, user interactions"
keep_025,Pagination,UI Components,Pagination component for navigating through multiple pages of content.,"<nav class=""flex items-center justify-between""><div class=""text-sm text-gray-700"">Showing 1 to 10 of 100 results</div><div class=""flex space-x-2""><button class=""px-3 py-2 text-gray-500 border border-gray-300 rounded-lg hover:bg-gray-50"">Previous</button><button class=""px-3 py-2 bg-blue-600 text-white rounded-lg"">1</button><button class=""px-3 py-2 text-gray-700 border border-gray-300 rounded-lg hover:bg-gray-50"">2</button><button class=""px-3 py-2 text-gray-700 border border-gray-300 rounded-lg hover:bg-gray-50"">3</button><button class=""px-3 py-2 text-gray-500 border border-gray-300 rounded-lg hover:bg-gray-50"">Next</button></div></nav>","Data tables, search results, content lists, navigation"
keep_026,Progress Bar,UI Components,Progress indicator component showing completion status of tasks or processes.,"<div class=""space-y-4""><div class=""w-full bg-gray-200 rounded-full h-2""><div class=""bg-blue-600 h-2 rounded-full"" style=""width: 45%""></div></div><div class=""flex justify-between text-sm text-gray-600""><span>45% Complete</span><span>Step 3 of 7</span></div></div>","Loading states, task progress, form completion, upload progress"
keep_027,Rating,UI Components,Star rating component for user feedback and reviews.,"<div class=""flex items-center space-x-1""><svg class=""w-5 h-5 text-yellow-400 fill-current"" viewBox=""0 0 20 20""><path d=""M9.049 2.927c.3-.921 1.603-.921 1.902 0l1.07 3.292a1 1 0 00.95.69h3.462c.969 0 1.371 1.24.588 1.81l-2.8 2.034a1 1 0 00-.364 1.118l1.07 3.292c.3.921-.755 1.688-1.54 1.118l-2.8-2.034a1 1 0 00-1.175 0l-2.8 2.034c-.784.57-1.838-.197-1.539-1.118l1.07-3.292a1 1 0 00-.364-1.118L2.98 8.72c-.783-.57-.38-1.81.588-1.81h3.461a1 1 0 00.951-.69l1.07-3.292z""/></svg><svg class=""w-5 h-5 text-yellow-400 fill-current"" viewBox=""0 0 20 20""><path d=""M9.049 2.927c.3-.921 1.603-.921 1.902 0l1.07 3.292a1 1 0 00.95.69h3.462c.969 0 1.371 1.24.588 1.81l-2.8 2.034a1 1 0 00-.364 1.118l1.07 3.292c.3.921-.755 1.688-1.54 1.118l-2.8-2.034a1 1 0 00-1.175 0l-2.8 2.034c-.784.57-1.838-.197-1.539-1.118l1.07-3.292a1 1 0 00-.364-1.118L2.98 8.72c-.783-.57-.38-1.81.588-1.81h3.461a1 1 0 00.951-.69l1.07-3.292z""/></svg><svg class=""w-5 h-5 text-yellow-400 fill-current"" viewBox=""0 0 20 20""><path d=""M9.049 2.927c.3-.921 1.603-.921 1.902 0l1.07 3.292a1 1 0 00.95.69h3.462c.969 0 1.371 1.24.588 1.81l-2.8 2.034a1 1 0 00-.364 1.118l1.07 3.292c.3.921-.755 1.688-1.54 1.118l-2.8-2.034a1 1 0 00-1.175 0l-2.8 2.034c-.784.57-1.838-.197-1.539-1.118l1.07-3.292a1 1 0 00-.364-1.118L2.98 8.72c-.783-.57-.38-1.81.588-1.81h3.461a1 1 0 00.951-.69l1.07-3.292z""/></svg><svg class=""w-5 h-5 text-gray-300 fill-current"" viewBox=""0 0 20 20""><path d=""M9.049 2.927c.3-.921 1.603-.921 1.902 0l1.07 3.292a1 1 0 00.95.69h3.462c.969 0 1.371 1.24.588 1.81l-2.8 2.034a1 1 0 00-.364 1.118l1.07 3.292c.3.921-.755 1.688-1.54 1.118l-2.8-2.034a1 1 0 00-1.175 0l-2.8 2.034c-.784.57-1.838-.197-1.539-1.118l1.07-3.292a1 1 0 00-.364-1.118L2.98 8.72c-.783-.57-.38-1.81.588-1.81h3.461a1 1 0 00.951-.69l1.07-3.292z""/></svg><svg class=""w-5 h-5 text-gray-300 fill-current"" viewBox=""0 0 20 20""><path d=""M9.049 2.927c.3-.921 1.603-.921 1.902 0l1.07 3.292a1 1 0 00.95.69h3.462c.969 0 1.371 1.24.588 1.81l-2.8 2.034a1 1 0 00-.364 1.118l1.07 3.292c.3.921-.755 1.688-1.54 1.118l-2.8-2.034a1 1 0 00-1.175 0l-2.8 2.034c-.784.57-1.838-.197-1.539-1.118l1.07-3.292a1 1 0 00-.364-1.118L2.98 8.72c-.783-.57-.38-1.81.588-1.81h3.461a1 1 0 00.951-.69l1.07-3.292z""/></svg><span class=""ml-2 text-sm text-gray-600"">3.0 out of 5</span></div>","Reviews, feedback, product ratings, user satisfaction"
keep_028,Slider,UI Components,Range slider component for selecting values within a range.,"<div class=""max-w-sm""><label class=""block text-sm font-medium text-gray-700 mb-2"">Price Range</label><div class=""relative""><input type=""range"" min=""0"" max=""100"" value=""50"" class=""w-full h-2 bg-gray-200 rounded-lg appearance-none cursor-pointer""/><div class=""flex justify-between text-xs text-gray-500 mt-1""><span>$0</span><span>$100</span></div></div></div>","Price filters, volume controls, range selection, settings"
keep_029,Tab Menu,UI Components,Tab navigation component for organizing content into sections.,"<div class=""border-b border-gray-200""><nav class=""-mb-px flex space-x-8""><button class=""border-b-2 border-blue-500 text-blue-600 py-2 px-1 text-sm font-medium"">Active Tab</button><button class=""border-b-2 border-transparent text-gray-500 hover:text-gray-700 hover:border-gray-300 py-2 px-1 text-sm font-medium"">Inactive Tab</button><button class=""border-b-2 border-transparent text-gray-500 hover:text-gray-700 hover:border-gray-300 py-2 px-1 text-sm font-medium"">Another Tab</button></nav></div>","Content organization, navigation, settings panels, data views"
keep_030,Table,UI Components,"Data table component with sorting, filtering, and pagination capabilities.","<div class=""overflow-x-auto""><table class=""min-w-full divide-y divide-gray-200""><thead class=""bg-gray-50""><tr><th class=""px-6 py-3 text-left text-xs font-medium text-gray-500 uppercase tracking-wider"">Name</th><th class=""px-6 py-3 text-left text-xs font-medium text-gray-500 uppercase tracking-wider"">Email</th><th class=""px-6 py-3 text-left text-xs font-medium text-gray-500 uppercase tracking-wider"">Role</th></tr></thead><tbody class=""bg-white divide-y divide-gray-200""><tr><td class=""px-6 py-4 whitespace-nowrap text-sm font-medium text-gray-900"">John Doe</td><td class=""px-6 py-4 whitespace-nowrap text-sm text-gray-500"">john@example.com</td><td class=""px-6 py-4 whitespace-nowrap text-sm text-gray-500"">Admin</td></tr></tbody></table></div>","Data display, user management, reports, content lists"
keep_031,Text Area,UI Components,Multi-line text input component for longer content and comments.,"<div class=""max-w-sm""><label class=""block text-sm font-medium text-gray-700 mb-2"">Message</label><textarea rows=""4"" class=""w-full px-3 py-2 border border-gray-300 rounded-lg focus:outline-none focus:ring-2 focus:ring-blue-500 focus:border-transparent"" placeholder=""Enter your message...""></textarea></div>","Forms, comments, descriptions, content creation"
keep_032,Text Input,UI Components,Single-line text input component with validation and different states.,"<div class=""max-w-sm""><label class=""block text-sm font-medium text-gray-700 mb-2"">Email</label><input type=""email"" class=""w-full px-3 py-2 border border-gray-300 rounded-lg focus:outline-none focus:ring-2 focus:ring-blue-500 focus:border-transparent"" placeholder=""Enter your email""/></div>","Forms, search, data entry, user input"
keep_033,Switch Toggle,UI Components,Toggle switch component for binary choices and settings.,"<div class=""flex items-center space-x-3""><label class=""flex items-center cursor-pointer""><input type=""checkbox"" class=""sr-only""/><div class=""relative""><div class=""w-10 h-6 bg-gray-200 rounded-full shadow-inner""></div><div class=""absolute w-4 h-4 bg-white rounded-full shadow top-1 left-1 transition-transform""></div></div><span class=""ml-3 text-sm font-medium text-gray-700"">Enable notifications</span></label></div>","Settings, preferences, feature toggles, binary options"
keep_034,Tooltip,UI Components,Tooltip component providing additional information on hover.,"<div class=""relative group inline-block""><button class=""bg-blue-600 text-white px-4 py-2 rounded-lg hover:bg-blue-700"">Hover me</button><div class=""absolute bottom-full left-1/2 transform -translate-x-1/2 mb-2 px-3 py-2 bg-gray-900 text-white text-sm rounded-lg opacity-0 group-hover:opacity-100 transition-opacity"">This is a tooltip</div></div>","Help text, additional information, user guidance, context"
keep_035,Play Button,UI Components,Media play button component for videos and audio content.,"<div class=""relative inline-block""><div class=""w-16 h-16 bg-black bg-opacity-75 rounded-full flex items-center justify-center cursor-pointer hover:bg-opacity-90 transition""><svg class=""w-8 h-8 text-white ml-1"" fill=""currentColor"" viewBox=""0 0 20 20""><path d=""M8 5v10l8-5-8-5z""/></svg></div></div>","Video players, audio players, media controls, content preview"
keep_036,Popover,UI Components,Popover component displaying contextual information or actions.,"<div class=""relative inline-block""><button class=""bg-gray-200 text-gray-800 px-4 py-2 rounded-lg hover:bg-gray-300"">Click me</button><div class=""absolute top-full left-0 mt-2 w-64 bg-white border border-gray-200 rounded-lg shadow-lg p-4 z-10""><h3 class=""font-medium text-gray-900 mb-2"">Popover Title</h3><p class=""text-sm text-gray-600 mb-3"">This is popover content with additional information.</p><button class=""text-blue-600 text-sm font-medium"">Action</button></div></div>","Context menus, additional actions, information panels, help"
keep_037,Search,UI Components,Search input component with suggestions and filtering capabilities.,"<div class=""relative max-w-sm""><div class=""absolute inset-y-0 left-0 pl-3 flex items-center pointer-events-none""><svg class=""h-5 w-5 text-gray-400"" fill=""none"" stroke=""currentColor"" viewBox=""0 0 24 24""><path stroke-linecap=""round"" stroke-linejoin=""round"" stroke-width=""2"" d=""M21 21l-6-6m2-5a7 7 0 11-14 0 7 7 0 0114 0z""/></svg></div><input type=""text"" class=""w-full pl-10 pr-4 py-2 border border-gray-300 rounded-lg focus:outline-none focus:ring-2 focus:ring-blue-500 focus:border-transparent"" placeholder=""Search...""/></div>","Search functionality, filtering, content discovery, navigation"
keep_038,Carousel,UI Components,Image carousel component with navigation controls and indicators.,"<div class=""relative max-w-lg mx-auto""><div class=""overflow-hidden rounded-lg""><div class=""flex transition-transform duration-300""><div class=""w-full flex-shrink-0""><img src=""image1.jpg"" class=""w-full h-64 object-cover""/></div><div class=""w-full flex-shrink-0""><img src=""image2.jpg"" class=""w-full h-64 object-cover""/></div></div></div><div class=""flex justify-center space-x-2 mt-4""><button class=""w-3 h-3 bg-blue-600 rounded-full""></button><button class=""w-3 h-3 bg-gray-300 rounded-full""></button><button class=""w-3 h-3 bg-gray-300 rounded-full""></button></div></div>","Image galleries, product showcases, testimonials, content rotation"
keep_039,Tree,UI Components,Hierarchical tree component for displaying nested data structures.,"<div class=""space-y-1""><div class=""flex items-center space-x-2""><button class=""text-gray-400 hover:text-gray-600"">▶</button><span class=""text-sm font-medium"">Parent Node</span></div><div class=""ml-6 space-y-1""><div class=""flex items-center space-x-2""><span class=""text-gray-400"">•</span><span class=""text-sm text-gray-600"">Child Node 1</span></div><div class=""flex items-center space-x-2""><span class=""text-gray-400"">•</span><span class=""text-sm text-gray-600"">Child Node 2</span></div></div></div>","File browsers, navigation menus, data hierarchies, organization"
keep_040,Toast,UI Components,Toast notification component for temporary messages and feedback.,"<div class=""fixed top-4 right-4 bg-white border border-gray-200 rounded-lg shadow-lg p-4 max-w-sm z-50""><div class=""flex items-start""><div class=""flex-shrink-0""><svg class=""w-5 h-5 text-green-400"" fill=""currentColor"" viewBox=""0 0 20 20""><path fill-rule=""evenodd"" d=""M10 18a8 8 0 100-16 8 8 0 000 16zm3.707-9.293a1 1 0 00-1.414-1.414L9 10.586 7.707 9.293a1 1 0 00-1.414 1.414l2 2a1 1 0 001.414 0l4-4z"" clip-rule=""evenodd""/></svg></div><div class=""ml-3""><p class=""text-sm font-medium text-gray-900"">Success!</p><p class=""text-sm text-gray-500"">Your changes have been saved.</p></div><button class=""ml-auto text-gray-400 hover:text-gray-600"">×</button></div></div>","Notifications, feedback messages, status updates, user alerts"
keep_041,Context Menu,UI Components,Right-click context menu component with action options.,"<div class=""bg-white border border-gray-200 rounded-lg shadow-lg py-1 min-w-48""><button class=""w-full px-4 py-2 text-left text-sm text-gray-700 hover:bg-gray-100"">Edit</button><button class=""w-full px-4 py-2 text-left text-sm text-gray-700 hover:bg-gray-100"">Copy</button><button class=""w-full px-4 py-2 text-left text-sm text-gray-700 hover:bg-gray-100"">Move</button><hr class=""my-1""><button class=""w-full px-4 py-2 text-left text-sm text-red-600 hover:bg-red-50"">Delete</button></div>","Right-click menus, action menus, item operations, shortcuts"
keep_042,Drawer,UI Components,Slide-out drawer component for navigation and additional content.,"<div class=""fixed inset-y-0 left-0 w-64 bg-white shadow-lg transform -translate-x-full transition-transform duration-300 ease-in-out z-50""><div class=""p-6""><h3 class=""text-lg font-medium text-gray-900 mb-4"">Navigation</h3><nav class=""space-y-2""><a href=""#"" class=""block px-3 py-2 text-gray-700 hover:bg-gray-100 rounded-lg"">Dashboard</a><a href=""#"" class=""block px-3 py-2 text-gray-700 hover:bg-gray-100 rounded-lg"">Settings</a><a href=""#"" class=""block px-3 py-2 text-gray-700 hover:bg-gray-100 rounded-lg"">Profile</a></nav></div></div>","Mobile navigation, sidebars, additional content, settings panels"
keep_043,Color Picker,UI Components,Color selection component with palette and custom color input.,"<div class=""max-w-xs""><label class=""block text-sm font-medium text-gray-700 mb-2"">Choose Color</label><div class=""grid grid-cols-8 gap-2""><div class=""w-8 h-8 bg-red-500 rounded cursor-pointer hover:ring-2 hover:ring-gray-400""></div><div class=""w-8 h-8 bg-blue-500 rounded cursor-pointer hover:ring-2 hover:ring-gray-400""></div><div class=""w-8 h-8 bg-green-500 rounded cursor-pointer hover:ring-2 hover:ring-gray-400""></div><div class=""w-8 h-8 bg-yellow-500 rounded cursor-pointer hover:ring-2 hover:ring-gray-400""></div><div class=""w-8 h-8 bg-purple-500 rounded cursor-pointer hover:ring-2 hover:ring-gray-400""></div><div class=""w-8 h-8 bg-pink-500 rounded cursor-pointer hover:ring-2 hover:ring-gray-400""></div><div class=""w-8 h-8 bg-gray-500 rounded cursor-pointer hover:ring-2 hover:ring-gray-400""></div><div class=""w-8 h-8 bg-black rounded cursor-pointer hover:ring-2 hover:ring-gray-400""></div></div><input type=""color"" class=""mt-2 w-full h-10 border border-gray-300 rounded-lg""/></div>","Design tools, customization, theming, color selection"
keep_044,Transfer,UI Components,Transfer component for moving items between two lists.,"<div class=""flex space-x-4 max-w-2xl""><div class=""flex-1""><h3 class=""text-sm font-medium text-gray-700 mb-2"">Available Items</h3><div class=""border border-gray-300 rounded-lg h-64 overflow-y-auto""><div class=""p-2 hover:bg-gray-50 cursor-pointer border-b"">Item 1</div><div class=""p-2 hover:bg-gray-50 cursor-pointer border-b"">Item 2</div><div class=""p-2 hover:bg-gray-50 cursor-pointer border-b"">Item 3</div></div></div><div class=""flex flex-col justify-center space-y-2""><button class=""px-3 py-1 text-sm bg-blue-600 text-white rounded hover:bg-blue-700"">→</button><button class=""px-3 py-1 text-sm bg-gray-600 text-white rounded hover:bg-gray-700"">←</button></div><div class=""flex-1""><h3 class=""text-sm font-medium text-gray-700 mb-2"">Selected Items</h3><div class=""border border-gray-300 rounded-lg h-64 overflow-y-auto""><div class=""p-2 hover:bg-gray-50 cursor-pointer border-b"">Selected Item</div></div></div></div>","User management, permission assignment, data transfer, list management"
keep_045,Light Box,UI Components,Lightbox component for displaying images and media in full-screen overlay.,"<div class=""fixed inset-0 bg-black bg-opacity-90 flex items-center justify-center z-50""><div class=""relative max-w-4xl max-h-full p-4""><img src=""large-image.jpg"" class=""max-w-full max-h-full object-contain""/><button class=""absolute top-4 right-4 text-white text-2xl hover:text-gray-300"">×</button><div class=""absolute bottom-4 left-1/2 transform -translate-x-1/2 text-white text-center""><p class=""text-sm"">Image Title</p><p class=""text-xs text-gray-300"">1 of 5</p></div></div></div>","Image galleries, media viewing, product showcases, content display"
keep_046,Wysiwyg Editor,UI Components,Rich text editor component with formatting tools and content creation capabilities.,"<div class=""border border-gray-300 rounded-lg""><div class=""border-b border-gray-300 p-2 flex space-x-2""><button class=""px-3 py-1 text-sm border border-gray-300 rounded hover:bg-gray-50"">B</button><button class=""px-3 py-1 text-sm border border-gray-300 rounded hover:bg-gray-50"">I</button><button class=""px-3 py-1 text-sm border border-gray-300 rounded hover:bg-gray-50"">U</button><button class=""px-3 py-1 text-sm border border-gray-300 rounded hover:bg-gray-50"">Link</button></div><div class=""p-4 min-h-32 focus:outline-none"" contenteditable=""true""><p>Start typing your content here...</p></div></div>","Content creation, blog posts, documentation, rich text input"
